text,label_name,label
lumber beat rapid game western division final evan edwards hit hr wp josh roberson ip bb mw lplayoffs mw lscoreboard,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
hear eli gold announce auburn game dumbass,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
phone away try look home game ticket october,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
year ago louisville struggle beat fcs opponent isu yes win score indicative game flow today demoralize well fcs opponent eku thank glad go,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
know dodger oriole game thursday fox arguably game entire schedule imagine fox,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
care give shot struggle joey offer game decide want start mississippi state game gus male sign,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
okay watch state unlv game fb,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
check large crowd basketball game phil arena aim set new attendance record fiba world cup final target fiba allow sro incredible philippine sport,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
vote want ncaa football good video game,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
stream new game minionmaster come stop join fear pack supportsmallstreamer small streamer connect smallstreamer twitchaffiliate twitch twitchprime subtember,['gaming'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
unanswered goal tie game mann cup,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
shout give year old son wrist ban game mean world sleep school monday old brother jealous,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
little voice leave completely exhausted change world exciting broadcaster game win play time expire tonight second time call gw fg monumental win georgetown,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
great win yesterday stay go game season great callum bennett impressive home especially youth step earlswoodcc cricket,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
refreshing twitter hard right gopher game atawedde,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
rage girl gamer feature binx tv visit twitch stream earn binx coin chance win free steam game,['gaming'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
late victim madden curse cover game career turn bad,['gaming' 'sports'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0]
game win well handle need handle completion good win match let play final hope build season maguire believe possible nrl tiger shark,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
dback mark mediocrity month hot team game right tonight emergency episode answer question pose new one tune,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
wonder stay washington cal game pac dark,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
tuber simulator good mobile game ok,['gaming'],[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
soccer ball pre season fixture soccer ball vs pre season game morning win week hopefully good pre season result ahead new season silly mistake week coyb,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
leave theme song change song joe version female sign power,['celebrity_&_pop_culture' 'music'],[0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
steven hope catch fury game college baseball end enjoy watch play season grandson nate heap praise,['sports'],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
