text,label_name,label,id,labels,single_label
lumber beat rapid game western division final evan edwards hit hr wp josh roberson ip bb mw lplayoffs mw lscoreboard,['sports'],[0 0 0 0 0 1],1170516324419866624,['sports'],sports
hear eli gold announce auburn game dumbass,['sports'],[0 0 0 0 0 1],1170516440690176006,['sports'],sports
phone away try look home game ticket october,['sports'],[0 0 0 0 0 1],1170516543387709440,['sports'],sports
year ago louisville struggle beat fcs opponent isu yes win score indicative game flow today demoralize well fcs opponent eku thank glad go,['sports'],[0 0 0 0 0 1],1170516620466429953,['sports'],sports
know dodger oriole game thursday fox arguably game entire schedule imagine fox,['sports'],[0 0 0 0 0 1],1170516711411310592,['sports'],sports
care give shot struggle joey offer game decide want start mississippi state game gus male sign,['sports'],[0 0 0 0 0 1],1170516891053580288,['sports'],sports
okay watch state unlv game fb,['sports'],[0 0 0 0 0 1],1170516916554936322,['sports'],sports
check large crowd basketball game phil arena aim set new attendance record fiba world cup final target fiba allow sro incredible philippine sport,['sports'],[0 0 0 0 0 1],1170516940902805504,['sports'],sports
vote want ncaa football good video game,['sports'],[0 0 0 0 0 1],1170517092489187328,['sports'],sports
unanswered goal tie game mann cup,['sports'],[0 0 0 0 0 1],1170546386242342912,['sports'],sports
shout give year old son wrist ban game mean world sleep school monday old brother jealous,['sports'],[0 0 0 0 0 1],1170546590119014406,['sports'],sports
little voice leave completely exhausted change world exciting broadcaster game win play time expire tonight second time call gw fg monumental win georgetown,['sports'],[0 0 0 0 0 1],1170546918780542978,['sports'],sports
great win yesterday stay go game season great callum bennett impressive home especially youth step earlswoodcc cricket,['sports'],[0 0 0 0 0 1],1170576010120769536,['sports'],sports
refreshing twitter hard right gopher game atawedde,['sports'],[0 0 0 0 0 1],1170576490452459520,['sports'],sports
late victim madden curse cover game career turn bad,['sports'],[0 0 0 0 0 1],1170576772536131584,['sports'],sports
game win well handle need handle completion good win match let play final hope build season maguire believe possible nrl tiger shark,['sports'],[0 0 0 0 0 1],1170576842052591617,['sports'],sports
dback mark mediocrity month hot team game right tonight emergency episode answer question pose new one tune,['sports'],[0 0 0 0 0 1],1170577365467983872,['sports'],sports
wonder stay washington cal game pac dark,['sports'],[0 0 0 0 0 1],1170605992406437888,['sports'],sports
soccer ball pre season fixture soccer ball vs pre season game morning win week hopefully good pre season result ahead new season silly mistake week coyb,['sports'],[0 0 0 0 0 1],1170607600611803136,['sports'],sports
leave theme song change song joe version female sign power,['celebrity_&_pop_culture' 'music'],[1 0 0 1 0 0],1170636385214226432,['celebrity_&_pop_culture' 'music'],celebrity_&_pop_culture
steven hope catch fury game college baseball end enjoy watch play season grandson nate heap praise,['sports'],[0 0 0 0 0 1],1170636779239747585,['sports'],sports
prime minister take game brexit bluff dublin tomorrow seemingly unconcerned mendacity visible write vice lead johnson useless come wield power,['news_&_social_concern'],[0 0 0 0 1 0],1170637030386274304,['news_&_social_concern'],news_&_social_concern
game win black swan fastandfree,['sports'],[0 0 0 0 0 1],1170637178642337792,['sports'],sports
wellington cowboy time cowboy win group grade title performance worthy occasion cowboy down minor premier dubbo cyms spark emotional celebration,['sports'],[0 0 0 0 0 1],1170637424776470531,['sports'],sports
tunisia win second classification game angola mean dtiger win host china classification game pm today ball run believe guy,['sports'],[0 0 0 0 0 1],1170637889320968192,['sports'],sports
game finish goal scorer,['sports'],[0 0 0 0 0 1],1170667173032923138,['sports'],sports
enjoy review chapter mention screenwriter gary dauberman theresareasontheydontjustfilmthebook noscriptnofilm itstartsonthepage creditscreenwriter,['film_tv_&_video'],[0 0 1 0 0 0],1170667273641746433,['film_tv_&_video'],film_tv_&_video
able play game currently pay stream service stream game wish,['sports'],[0 0 0 0 0 1],1170667410740920321,['sports'],sports
game day good luck tonight augsburg wish giant,['sports'],[0 0 0 0 0 1],1170667625120182272,['sports'],sports
enjoy game result want good unlucky fight,['sports'],[0 0 0 0 0 1],1170667694099771392,['sports'],sports
day saveagainstfear session run sa fe deadland join like usual party people home game deal train heist blast invite join home game,['sports'],[0 0 0 0 0 1],1170697740332019712,['sports'],sports
game day wish suit today rest well soon hope hear cheer wny bring bill,['sports'],[0 0 0 0 0 1],1170697822678802434,['sports'],sports
game day nfl brotherhood rise atlanta falcon nfl kickoff mercedes benz stadium,['sports'],[0 0 0 0 0 1],1170697974697078785,['sports'],sports
